id,name,one_line_profile,detailed_description,domains,subtask_category,application_level,primary_language,repo_url,help_website,license,tags
1,rdkit-react,Script to perform chemical reactions on molecules using RDKit,"A Python script that utilizes RDKit to apply chemical reaction transformations (SMARTS) to a set of reactant molecules, generating product structures.",C3;C3-01,reaction_enumeration;data_generation,solver,Python,https://github.com/3D-e-Chem/rdkit-react,,Apache-2.0,rdkit;reaction-enumeration;cheminformatics
2,reagent_emb_vis,Visualization tool for exploring reagent roles in chemical reactions,"A tool for reaction data exploration that creates a map of reagents, identifying regions of similar reagent purposes to aid in understanding reaction roles.",C3;C3-01,visualization;data_analysis,solver,Python,https://github.com/Academich/reagent_emb_vis,,MIT,visualization;reagents;reaction-data
3,Jupyter Dock,Interactive Jupyter Notebooks for molecular docking protocols,"A set of interactive Jupyter Notebooks designed for performing molecular docking, including visualization, file format conversion, and result analysis.",C3;C3-01,molecular_docking;visualization,workflow,Jupyter Notebook,https://github.com/AngelRuizMoreno/Jupyter_Dock,,MIT,molecular-docking;jupyter-notebook;drug-discovery
4,ElectrochemicalKinetics.jl,Electrochemical reaction rate modeling library,A Julia library for modeling electrochemical reaction rates and generating nonequilibrium phase maps using automatic differentiation.,C3;C3-01,reaction_modeling;kinetics,library,Julia,https://github.com/BattModels/ElectrochemicalKinetics.jl,,MIT,electrochemistry;kinetics;julia
5,RxnIM,Multimodal Large Language Model for chemical reaction image parsing,"Official implementation of 'Towards Large-scale Chemical Reaction Image Parsing via a Multimodal Large Language Model', converting reaction images to structured text.",C3;C3-01,optical_chemical_structure_recognition;image_to_text,solver,Python,https://github.com/CYF2000127/RxnIM,,MIT,ocr;reaction-parsing;multimodal-llm
6,MaterialParser,Parser for chemical terms into structured chemical formulas,"A utility to compile strings of chemical terms into data structures representing chemical formulas and compositions, useful for text mining in materials science.",C3;C3-01,text_mining;data_parsing,library,Python,https://github.com/CederGroupHub/MaterialParser,,MIT,materials-science;parsing;chemical-formula
7,id-mapper,ID mapping tool for biological entities,"A tool to map identifiers for biological entities such as metabolites, reactions, and genes across different databases.",C3;C3-01,identifier_mapping;data_standardization,library,Python,https://github.com/DD-DeCaF/id-mapper,,Apache-2.0,bioinformatics;id-mapping;metabolomics
8,rdkit-scripts,Collection of RDKit scripts for cheminformatics tasks,"A repository of Python scripts utilizing RDKit for various cheminformatics tasks, simplifying common molecular manipulation and analysis workflows.",C3;C3-01,data_processing;molecular_manipulation,library,Python,https://github.com/DrrDom/rdkit-scripts,,MIT,rdkit;scripts;cheminformatics
9,rdeditor,Simple RDKit-based molecule editor GUI,"A graphical user interface for editing molecules, built using RDKit and PySide, allowing users to draw and modify chemical structures.",C3;C3-01,molecular_drawing;visualization,solver,Python,https://github.com/EBjerrum/rdeditor,,LGPL-3.0,gui;molecule-editor;rdkit
10,scikit-mol,Scikit-learn compatible molecular vectorization using RDKit,"A library providing scikit-learn compatible classes for converting RDKit molecules into machine learning-ready vectors (fingerprints, descriptors).",C3;C3-01,featurization;machine_learning,library,Python,https://github.com/EBjerrum/scikit-mol,,LGPL-3.0,scikit-learn;rdkit;molecular-fingerprints
11,CBRdb,Curated biochemical reaction database,A curated database integrating and refining biochemical reaction data from KEGG and ATLAS to support precise analyses.,C3;C3-01,database;data_curation,dataset,Python,https://github.com/ELIFE-ASU/CBRdb,,MIT,biochemistry;database;kegg
12,Molecules_Dataset_Collection,Collection of molecular datasets for property inference,"A collection of datasets containing molecules, intended for validating property inference models and machine learning tasks in chemistry.",C3;C3-01,dataset;benchmarking,dataset,None,https://github.com/GLambard/Molecules_Dataset_Collection,,MIT,dataset;molecular-properties;machine-learning
13,Click,Preprepared click chemistry reactions for RDKit,"A collection of pre-defined reaction SMARTS for 'click chemistry' reactions, ready to be used with RDKit for reaction enumeration.",C3;C3-01,reaction_enumeration;template_library,library,Python,https://github.com/Gillingham-Lab/Click,,MIT,click-chemistry;rdkit;reaction-smarts
14,HeadTailAssign,Head and tail atom assignment for polymerization,A tool that assigns head and tail atom positions in monomeric units or polymerization reactions represented in SMILES format.,C3;C3-01,atom_mapping;polymer_chemistry,solver,Python,https://github.com/IBM/HeadTailAssign,,BSD-3-Clause,polymers;smiles;atom-assignment
15,XLMExtractor-chem-reaction,Extractor for chemical reactions from patent XML files,"A script to extract chemical reaction information from US patent XML files, specifically designed for the dataset curated by Daniel M Lowe.",C3;C3-01,text_mining;data_extraction,solver,Python,https://github.com/IBM/XLMExtractor-chem-reaction,,BSD-3-Clause,patent-mining;reaction-extraction;xml
16,pipelines,Containerised cheminformatics components,"A collection of containerised components and pipelines for cheminformatics and computational chemistry tasks, facilitating reproducible workflows.",C3;C3-01,workflow_management;cheminformatics,workflow,Python,https://github.com/InformaticsMatters/pipelines,,Apache-2.0,containers;pipelines;cheminformatics
17,Reaction_Data_Cleaning,Chemical reaction data cleaning utilities,"A Python library for cleaning and standardizing chemical reaction data, likely including tasks like atom mapping verification and reagent normalization.",C3;C3-01,data_cleaning;standardization,library,Python,https://github.com/Laboratoire-de-Chemoinformatique/Reaction_Data_Cleaning,,LGPL-2.1,data-cleaning;reaction-data;cheminformatics
18,psikit,Interface between Psi4 and RDKit,"A Python library that acts as a bridge between RDKit (cheminformatics) and Psi4 (quantum chemistry), facilitating quantum mechanical calculations on RDKit molecules.",C3;C3-01,quantum_chemistry;calculation_interface,library,Python,https://github.com/Mishima-syk/psikit,,BSD-3-Clause,psi4;rdkit;quantum-chemistry
